"ID"	"SiteFK"	"Circle"	"Orientation"	"Code"	"Species"
2350	1300	1	"C"	178	"Red maple"
2351	1300	1	"D"	179	"Red oak"
2352	1300	1	"E"	180	"Red oak"
2353	1300	2	"A"	181	"Rhododendron"
2354	1300	2	"B"	182	"Rhododendron"
2355	1300	2	"C"	183	"Serviceberry"
2356	1300	2	"D"	184	"Serviceberry"
2357	1300	2	"E"	185	"Striped maple"
2358	1300	3	"A"	186	"Striped maple"
2359	1300	3	"B"	187	"Witch hazel"
2360	1300	3	"C"	188	"Witch hazel"
2361	1300	3	"D"	189	"8"
2362	1300	3	"E"	190	"8"
2363	1300	4	"A"	191	"9"
2364	1300	4	"B"	192	"9"
2365	1300	4	"C"	193	"American beech"
2366	1300	4	"D"	194	"American chestnut"
2367	1300	4	"E"	195	"American chestnut"
2368	1300	5	"A"	196	"Black cherry"
2369	1300	5	"B"	197	"Black cherry"
2370	1300	5	"C"	198	"Mountain winterberry"
2371	1300	5	"D"	199	"Mountain winterberry"
2372	1300	5	"E"	200	"Pignut hickory"
2373	1300	1	"A"	201	"Red maple"
2374	1300	1	"B"	202	"Red maple"
2375	1300	1	"C"	203	"Red oak"
2376	1300	1	"D"	204	"Red oak"
2377	1300	1	"E"	205	"Rhododendron"
2378	1300	2	"A"	206	"Rhododendron"
2379	1300	2	"B"	207	"Serviceberry"
2380	1300	2	"C"	208	"Serviceberry"
2381	1300	2	"D"	209	"Striped maple"
2382	1300	2	"E"	210	"Striped maple"
2383	1300	3	"A"	211	"Tulip poplar"
2384	1300	3	"B"	212	"White ash"
2385	1300	3	"C"	213	"White ash"
2386	1300	3	"D"	214	"Witch hazel"
2387	1300	3	"E"	215	"Witch hazel"
2388	1300	4	"A"	216	"Yellow birch"
2389	1300	4	"B"	217	"Yellow birch"
2390	1300	4	"C"	218	"8"
2391	1300	4	"D"	219	"8"
2392	1300	4	"E"	220	"9"
2393	1300	5	"A"	221	"9"
2394	1300	5	"B"	222	"American chestnut"
