Comments	arthropodNotes	NumberOfLeaves	Group	Hairy	Rolled	Tented	BeetleLarva	Sawfly
"AMC, WBL, multistem, tiny leaves"		NA		NA	NA	NA	NA	NA
"AMC, WBL, small leaves"		NA		NA	NA	NA	NA	NA
"AMC, WBL, small leaves, multistem"		NA		NA	NA	NA	NA	NA
"AMC, WBL,2 stem"		NA		NA	NA	NA	NA	NA
"AMC, WBL.multiple stems"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, 2 stem"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, 3 stem"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, 7 rows back pro legs, 3 pro legs"	"7 rows back pro legs, 3 pro legs"	NA		NA	NA	NA	NA	NA
"AMC, ZSZ, BMW"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, BMW, 2 stem"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, BMW, 2 stem, fuzzy lep"	fuzzy lep	NA		1	NA	NA	NA	NA
"AMC, ZSZ, BMW, 3 stem"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, BMW, multistem"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, fat"	fat	NA		NA	NA	NA	NA	NA
"AMC, ZSZ, multistem"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL, 2 stem"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL, 2 stem, small leaves"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL, 2 stems"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL, 41 leaves"		41		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL, multistem"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL, multistem, small leaves"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL, multistem, small leavse"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL, small leaves"		NA		NA	NA	NA	NA	NA
"AMC, ZSZ, WBL, small leaves, multistem"		NA		NA	NA	NA	NA	NA
"AMW, JMW, MHC, RWC"		NA		NA	NA	NA	NA	NA
"AMW, JMW, MHC, RWC, multiple stems"		NA		NA	NA	NA	NA	NA
and fat!	and fat!	NA		NA	NA	NA	NA	NA
"B&W, fuzzy"	fuzzy	NA		1	NA	NA	NA	NA
BAC		NA		NA	NA	NA	NA	NA
BAS		NA		NA	NA	NA	NA	NA
black	black	NA		NA	NA	NA	NA	NA
"black flattened head, green w/ white fine hairs"	"black flattened head, green w/ white fine hairs"	NA		1	NA	NA	NA	NA
"black fuzzy tussock, AJC, LTC"	black fuzzy tussock	NA		1	NA	NA	NA	NA
"black head capsule, lots of legs"	"black head capsule, lots of legs"	NA		NA	NA	NA	NA	NA
BMM		NA		NA	NA	NA	NA	NA
BMM/JLH/AES		NA		NA	NA	NA	NA	NA
BMW		NA		NA	NA	NA	NA	NA
"BMW, 2 stem"		NA		NA	NA	NA	NA	NA
"BMW, 3 STEM"		NA		NA	NA	NA	NA	NA
"BMW, AMC, multistem"		NA		NA	NA	NA	NA	NA
"BMW, AMC, WBL"		NA		NA	NA	NA	NA	NA
"BMW, AMC, WBL,"		NA		NA	NA	NA	NA	NA
"BMW, AMC, WBL, "		NA		NA	NA	NA	NA	NA
"BMW, AMC, WBL, 2 stems"		NA		NA	NA	NA	NA	NA
