"Moth_Peak_1"	"Moth_Peak_2"	"Moth_10%"	"Moth_50"	"Moth_Half_Peak"	"Year"
155	243	90	220	155	2010
114.5	232.5	56	208	55	2011
73.5	236.5	42	187	58.5	2012
151	254.5	57	189	106.5	2013
154.5	243.5	63	199	110.5	2014
129.5	247.5	69	228	100	2015
148.5	251.5	67	192	119	2016
151.5	239.5	65	204	107.5	2017
156	244	55	196	127	2018
